id,descriptions,rightanswer,A,B,C,D,wrong_count
280,以下古代神话中，深刻反映了中国人民勇于追求和实现梦想的执着精神的是（）。,ABCD,伏羲画卦,女娲补天,神农尝草,愚公移山,0
281,百年前，中国共产党的先驱们创建了中国共产党，形成了（）的伟大建党精神，这是中国共产党的精神之源。,ABCD,坚持真理、坚守理想,践行初心、担当使命,不怕牺牲、英勇斗争,对党忠诚、不负人民,0
282,大力弘扬新时代爱国主义，必须（）。,ABCD,坚持爱国爱党爱社会主义相统一,维护祖国统一和民族团结,尊重和传承中华民族历史文化,坚持立足中国又面向世界,0
283,在现阶段，爱国主义主要表现为在中国共产党领导下，献身于建设新时代中国特色社会主义伟大事业，献身于实现中华民族伟大复兴的中国梦的实践，献身于促进祖国统一大业。,A,正确,错误,,,0
284,爱国主义的丰富性和生命力，正是通过它的（）来表现的。,BC,抽象性,历史性,现实性,缥缈性,0
285,在新民主主义革命时期，爱国主义主要表现为在党的领导下，克服万难、前仆后继，推翻（）的反动统治，把黑暗的旧中国改造成光明的新中国，为实现中华民族站起来而奋斗。,ABC,帝国主义,封建主义,官僚资本主义,民族资本主义,0
286,凡是有利于增进两岸同胞共同福祉的事情，我们都应尽最大努力做好。,A,正确,错误,,,0
287,一切分裂祖国的活动都必将遭到全体中国人坚决反对。,A,正确,错误,,,0
288,大学生要感悟两岸关系和平发展的潮流，担当起实现中华民族伟大复兴的历史重任，为推动两岸关系和平发展、实现祖国统一作出自己的贡献。,A,正确,错误,,,0
289,要牢固树立正确的（），增强对伟大祖国的认同、对中华民族的认同、对中华文化的认同、对中国共产党的认同、对中国特色社会主义道路的认同，构建各民族共有精神家园。,ABCD,祖国观,民族观,文化观,历史观,0
290,在与各民族同胞接触交往的日常生活中，要（），不说伤害民族感情的话，不做不利于民族团结和社会稳定的事。,ABCD,维护和发展各民族的平等团结互助和谐关系,尊重兄弟民族的传统文化、风俗习惯和宗教信仰,多说有利于民族团结、有利于社会稳定的话,多做有利于民族团结、有利于社会稳定的事,0
291,中华优秀传统文化是中华民族的精神命脉，其中蕴含着中华民族世世代代形成和积累的思想营养和实践智慧，是中华民族得以延续的文化基因，也是我们在世界文化激荡中站稳脚跟的根基。,A,正确,错误,,,0
292,我们要对中华民族的英雄心怀崇敬，自觉传承好中华民族辉煌灿烂的历史文化。,A,正确,错误,,,0
293,当今世界，（）仍然是民族存在的最高组织形式，是国际社会活动中的独立主体。,B,社会,国家,国际合作组织,联合国,0
294,国家安全是指一个国家不受内部和外部的威胁、破坏而保持稳定有序的状态。,A,正确,错误,,,0
295,新时代爱国主义继承并发扬了中华文化协和万邦、热爱和平的优秀传统，对外主张平等互利、和平共处的国际交往原则，积极维护国际和平与文明和谐。,A,正确,错误,,,0
296,在国家安全形势越来越复杂的今天，大学生要（），维护国家安全。,ABC,增强国家安全意识,对境内外敌对势力的渗透、颠覆、破坏活动保持高度警惕,切实履行维护国家安全的义务,国家安全与大学生无关,0
297,新中国是中国共产党领导的社会主义国家，祖国的命运和党的命运、社会主义的命运密不可分。,A,正确,错误,,,0
298,当代中国，爱国主义的本质就是坚持（）高度统一。,ABC,爱国,爱党,爱社会主义,爱资本主义,0
299,我们爱的“国”是中国共产党领导的社会主义中国，（），为国家繁荣发展贡献自己的力量，是爱国主义的基本要求。,ABCD,拥护国家的基本制度,遵守国家的宪法法律,维护国家安全和统一,捍卫国家的利益,0
300,爱国主义与爱社会主义的统一是中国历史发展的必然结果。,A,正确,错误,,,0
301,在中国特色社会主义新时代，爱国主义主要表现不包括（）。,D,在党的领导下全面建成小康社会,开启全面建设社会主义现代化国家新征程,为实现中华民族强起来而奋斗,固守中国民族特色，排斥一切外来文化,0
302,新时代大学生不仅要在认识上深刻理解爱国爱党爱社会主义的高度统一，更要以实际行动体现对祖国的热爱、对党的热爱、对社会主义的热爱。,A,正确,错误,,,0
303,大陆和台湾同属一个中国，是不可分割的整体，这个事实从未改变，也不可能改变。,A,正确,错误,,,0
304,我们绝不允许任何人、任何组织、任何政党在任何时候、以任何形式、把任何一块中国领土从中国分裂出去。,A,正确,错误,,,0
305,处理好民族问题、促进民族团结，是关系祖国统一和边疆巩固的大事，是关系民族团结和社会稳定的大事，是关系国家长治久安和中华民族繁荣昌盛的大事。,A,正确,错误,,,0
306,要认清“藏独”和“疆独”等各种分裂主义势力的险恶用心和反动本质，要（），与破坏民族团结的行为作坚决斗争。,ABCD,坚持原则、明辨是非,不信谣、不传谣,不受分裂分子挑拨煽动,不参与违法犯罪活动,0
307,对祖国悠久历史、深厚文化的理解和接受，是培育和发展爱国主义情感的重要条件。,A,正确,错误,,,0
308,中华文化独一无二的（），增添了中国人民和中华民族内心深处的自信和自豪。,ABCD,理念,智慧,气度,神韵,0
309,要旗帜鲜明的反对历史虚无主义。以下哪些是历史虚无主义的表现（）。,ABCD,抹黑和诋毁革命领袖,否定马克思主义指导地位,否定中国革命历史,混淆视听、扰乱人心,0
310,新时代大学生要树立（）历史观和党史观。,ABCD,把握党的历史发展主题和主线,中国特色社会主义为什么好,增强历史自信、历史自觉,领悟中国共产党为什么能、马克思主义为什么行,0
311,保卫祖国、抵抗侵略是军人的职责，与普通大学生无关。,B,正确,错误,,,0
312,大学生只需要遵守国家安全法律即可，无需履行维护国家安全的法律义务。,B,正确,错误,,,0
313,中国人民的梦想同各国人民的梦想息息相通，实现中国梦离不开和平的国际环境和稳定的国际秩序。,A,正确,错误,,,0
314,社会主义在中国不是一句空洞的口号，而是集中代表着、体现着、实现着国家、民族和人民的根本利益。,A,正确,错误,,,0
315,中国的问题必须从中国基本国情出发，由中国人自己来解答。,A,正确,错误,,,0
316,当前，世界百年未有之大变局加速演进，（）等全球性问题加剧，世界进入新的动荡变革期。,ABCD,世纪疫情影响深远，逆全球化思潮抬头,单边主义、保护主义明显上升,世界经济复苏乏力,局部冲突和动荡频发,0
317,大学生既是社会主义现代化建设的有用人才，也是国防建设的后备人才，必须（），成为既能建设祖国又能保卫祖国的优秀人才。,ABCD,具有很强的国防观念和忧患意识,自觉接受国防和军事方面的教育训练,关心国防、了解国防、热爱国防、投身国防,积极履行国防义务,0
318,改革开放是当代中国发展进步的活力之源，它只有进行时，没有完成时。,A,正确,错误,,,0
319,改革开放创造的奇迹是来自中国共产党和中国人民的（）以及各方面创新。,ABCD,理论创新,实践创新,制度创新,文化创新,0
320,创新是推动人类社会发展的重要力量。,A,正确,错误,,,0
321,虽然我国经济总量跃居世界第二，但大而不强、臃肿虚胖体弱问题相当突出，主要体现在（）。,ABCD,创新能力不强,科技发展水平总体不高,科技对经济社会发展的支撑能力不足,科技对经济增长的贡献率远低于发达国家水平,0
322,创新决定着世界政治经济力量对比的变化，也决定着各国各民族的前途命运。,A,正确,错误,,,0
323,只有全面深化改革，坚持创新在我国现代化建设全局中的核心地位，在全社会积极营造鼓励（）的良好氛围，才能把创新驱动的新引擎全速发动起来，为我国经济社会发展提供前所未有的强劲动力。,ABC,大胆创新,勇于创新,包容创新,盲目创新,0
324,以下不属于改革创新的责任感的表现是（）。,D,不甘落后,奋勇争先,追求进步,安于现状,0
325,大学生要以时不我待、只争朝夕的紧迫感投身改革创新的实践，服务人民，奉献社会，实现人生价值。,A,正确,错误,,,0
326,树立敢于突破陈规的意识，要求大学生在学习与实践中要（）。,ABCD,敢于大胆突破陈规甚至常规,敢于大胆探索尝试,善于观察发现、思考批判,不唯书、不唯上、只唯实,0
327,"青年应是常为新、敢创造的,理当锐意创新创造，不等待、不观望、不懈怠，勇做改革创新的生力军。",A,正确,错误,,,0
328,以下各项中，不属于树立改革创新的自觉意识的是（）。,C,树立突破陈规陋习的自觉意识,树立大胆探索未知领域的信心,绝对地相信权威的观点,树立勇于创新创造的思想观念,0
329,无视或轻视专业知识学习，不可能担负改革创新的重任。,A,正确,错误,,,0
330,大学生作为改革创新的生力军，应从扎实系统的专业知识学习起步和入手，而不能好高鸯远，空谈改革创新。,A,正确,错误,,,0
331,下列各项中，与改革创新思想观念相悖的是（）。,D,敢于突破陈规,大胆探索未知,勇于创新创造,因循守旧,0
332,以（）为标志，我国开启了改革开放的历史征程。,A,党的十一届三中全会,党的十二届三中全会,党的十一届五中全会,党的十一届六中全会,0
333,在当代中国，经济社会发展离不开改革创新。,A,正确,错误,,,0
334,第二次产业革命以来，美国占据了世界第一的位置，这是因为美国是科技和产业革命的领航者和最大获利者。,A,正确,错误,,,0
335,（）是当今国际竞争新优势的集中体现。,B,领土面积,创新能力,经济实力,文化自信,0
336,大学生在专业学习与社会实践中应（），自觉培养创新思维。,BCD,只唯书、只唯上,勤于思考,善于发现,勇于创新,0
337,青年往往（），敢于尝试新生事物，这些都是有利于创新创造的重要条件。,ABCD,朝气蓬勃,思维活跃,好奇心强,求知欲盛,0
338,核心价值观，承载着一个民族、一个国家的精神追求，体现着一个社会评判是非曲直的价值标准。,A,正确,错误,,,0
339,社会主义核心价值观集中体现（）的本质属性，代表全体人民共同的价值追求。,B,资本主义,社会主义,功利主义,个人主义,0
340,（）是促进社会进步、人的自由全面发展的物质基础，是生产力标准的根本要求。,B,自由,富强,博爱,公正,0
341,（）是社会进步的重要标志，也是社会主义现代化国家的重要特征。,D,法治,平等,和谐,文明,0
342,（）是中华文明的核心价值理念。,A,和谐,文明,自由,公正,0
343,（）是一个社会的活力之源，是社会主义的价值理想。,A,自由,公正,富强,法治,0
344,（）是人类社会进步的标尺，是社会主义制度的本质要求。,C,平等,自由,公正,法治,0
345,（）是人类政治文明的重要成果，是现代社会的主要特征。,B,公正,法治,和谐,文明,0
346,价值观不同的人，行为取向也会不同，甚至可能截然相反。,A,正确,错误,,,0
347,马克思说：“随着每一次社会秩序的巨大历史变革，人们的观点和观念也会发生变革。”这说明价值观具有（）。,B,阶级性,时代性,永恒性,抽象性,0
348,人们的社会存在和社会生活是（），是属于一定时代的，反映社会存在和社会生活的价值观总是表现出鲜明的时代特点。,AB,具体的,现实的,抽象的,一成不变的,0
349,核心价值观是一个民族赖以维系的精神纽带，是一个国家共同的思想道德基础。,A,正确,错误,,,0
350,核心价值观是一个国家的重要稳定器，能否构建具有强大感召力的核心价值观，关系社会和谐稳定，关系国家长治久安。,A,正确,错误,,,0
351,世界上各种文化之争，本质上是价值观念之争，也是人心之争、意识形态之争。,A,正确,错误,,,0
352,党的十八大提出积极培育和践行社会主义核心价值观，内容涉及（）等层面。,ABD,国家,社会,世界,公民,0
353,社会主义核心价值观是中国共产党凝聚全党全社会价值共识作出的重要论断。,A,正确,错误,,,0
354,社会主义核心价值观的提出，鲜明确立了当代中国的核心价值理念，生动展现了中国共产党和中华民族高度的价值自觉和价值自信。,A,正确,错误,,,0
355,社会主义核心价值观是社会主义核心价值体系的精神内核。,A,正确,错误,,,0
356,社会主义核心价值观是全面建成社会主义现代化强国、实现第二个百年奋斗目标的价值引领。,A,正确,错误,,,0
357,关于社会主义核心价值观和社会主义核心价值体系的关系，理解正确的有（）。,ABCD,两者紧密联系、互为依存、相辅相成,具有内在的一致性,都体现了社会主义意识形态的本质要求,体现了社会主义制度在思想和精神层面的质的规定性,0
358,社会主义核心价值观回答的问题不包括（）。,C,建设什么样的国家,建设什么样的社会,构建什么样的世界,培育什么样的公民,0
359,社会主义核心价值观体现了社会主义本质要求，继承和吸收了（），体现了时代精神。,AB,中华优秀传统文化,世界文明有益成果,所有古代传统文化,世界各国文明形态,0
360,富强、民主、文明、和谐从（）标注了社会主义核心价值观的时代刻度。,A,国家层面,社会层面,公民层面,全球层面,0
361,人民富裕和国家强盛在根本上是统一的，这是社会主义的价值追求。,A,正确,错误,,,0
362,中华民族伟大复兴归根到底要落实到满足人民对美好生活的追求上，使人民的获得感、幸福感、安全感更加充实、更可持续、更有保障，朝着共同富裕方向稳步前进。,A,正确,错误,,,0
363,人民民主反映了人民群众的历史主体地位，是人民群众创造历史的集中体现。,A,正确,错误,,,0
364,社会主义核心价值观倡导的民主是（）。,ABC,最广泛的民主,最真实的民主,最管用的民主,少数人的民主,0
365,社会主义核心价值观倡导的民主没有门槛，不受（）、宗教等因素限制。,ABCD,财产,地位,民族,性别,0
366,文明是社会进步的重要标志，也是社会主义现代化国家的重要特征。,A,正确,错误,,,0
367,社会主义核心价值观倡导的文明包括（）、生态文明。,ABCD,物质文明,政治文明,精神文明,社会文明,0
368,自由、平等、公正、法治这一价值追求，回答的是我们要（）的重大问题。,B,建设什么样的国家,建设什么样的社会,构建什么样的世界,培育什么样的公民,0
369,关于社会主义核心价值观所倡导的平等，下列理解中不正确的是（）。,B,兼顾效率与公平,不患寡而患不均,政治上平等参与,经济上共同富裕,0
370,公正是人类社会进步的标尺，是社会主义制度的本质要求。,A,正确,错误,,,0
371,社会主义核心价值观倡导的公正，不只是强调机会平等和程序正义的公正，更是兼顾结果的公正，体现在社会生活各个领域、各个层次、各个方面的公正。,A,正确,错误,,,0
372,在当代中国，全面推进依法治国，加快建设社会主义法治国家，是坚持和发展中国特色社会主义的本质要求和重要保障。,A,正确,错误,,,0
373,社会主义核心价值观倡导的法治，是立足中国的社会现实和文化传统，坚持党的领导、人民当家作主、依法治国的有机统一。,A,正确,错误,,,0
374,爱国、敬业、诚信、友善，这一价值追求回答的是我们要（）的重大问题。,D,建设什么样的国家,建设什么样的社会,弘扬什么样的文化,培育什么样的公民,0
375,爱国是最深沉、最持久的情感，是每个公民应当遵循的最基本的价值观念和道德准则。,A,正确,错误,,,0
376,敬业是对待生产劳动和人类生存的一种根本价值态度。,A,正确,错误,,,0
377,诚信是个人立身处世的基本价值规范，是社会存续发展的重要价值基石。,A,正确,错误,,,0
378,社会主义核心价值观倡导的诚信，就是要以诚待人、以信取人，说老实话、办老实事、做老实人。,A,正确,错误,,,0
379,友善是维系良好人际关系和社会关系的基本价值准则。友善的要求包括（）。,ABC,善待亲人朋友,对社会抱有善意,与自然和谐共处,对陌生人不用友善,0
380,社会主义核心价值观，集中体现了（）所倡导的价值理念，是中国特色社会主义的根本价值导向。,B,个人主义,马克思主义,实用主义,功利主义,0
381,一个国家的文化软实力，从根本上说，取决于其核心价值观的生命力、凝聚力、感召力。,A,正确,错误,,,0
382,价值观在人们的观念体系中并不是孤立的，它与世界观、人生观相辅相成、相互作用、相互促进，是辩证统一的关系。,A,正确,错误,,,0
383,只有社会主义社会存在多种多样的价值观念和价值取向。,B,正确,错误,,,0
384,富强、民主、文明、和谐的价值追求，回答了我们要（）的重大问题，揭示了当代中国经济社会发展的价值目标。,C,构建什么样的世界,培育什么样的公民,建设什么样的国家,建设什么样的社会,0
385,富强不仅在于富民，也在于强国，即国家强盛，体现为国家拥有强大的综合国力。,A,正确,错误,,,0
386,人民民主是社会主义的生命，没有民主就没有社会主义，就没有社会主义现代化。,A,正确,错误,,,0
387,中国共产党领导人民实行的民主是全过程人民民主。,A,正确,错误,,,0
388,全过程人民民主，实现了（）相统一，是全链条、全方位、全覆盖的民主。,ABCD,过程民主和成果民主,程序民主和实质民主,直接民主和间接民主,人民民主和国家意志,0
389,和谐的中国，秉持世界持久和平的理想，心系人类共同繁荣的命运，担当可持续发展的历史责任。,A,正确,错误,,,0
390,自由是社会活力之源，是社会主义的价值理想。,A,正确,错误,,,0
391,社会主义核心价值观体现了社会主义制度在物质层面和思想精神层面的质的规定性。,B,正确,错误,,,0
392,社会主义核心价值观倡导的平等是要让人人都能（），政治上平等参与、经济上共同富裕、文化上共建共享，同祖国和时代一起成长进步。,ABC,公平行使社会权利,履行社会义务,分享社会成果,直接参与国家决策,0
393,社会主义社会的各项制度安排，归根结底是将最广大人民的根本利益作为出发点和落脚点，在社会发展过程中尽最大努力（）。,ABC,实现人民的愿望,满足人民的需要,维护人民的根本利益,实现按需分配,0
394,法治是人类政治文明的重要成果，是现代社会的主要特征。,A,正确,错误,,,0
395,全面推进依法治国是实现国家治理体系和治理能力现代化的必然要求，事关我们党执政兴国、事关人民幸福安康、事关党和国家长治久安。,A,正确,错误,,,0
396,社会主义核心价值观倡导的爱国，就是（）。,ABCD,把个人价值的实现同推动国家的繁荣发展对接,把人生意义的提升同增进最广大人民的福祉相连,不断加深对祖国悠久历史、灿烂文化的认同,把我们的国家建设好，把我们的民族发展好,0
397,在复杂的社会变革中，不同价值取向并存，表现出来的是具体利益、观念观点之争，但折射出来的是价值观的分歧。培育和践行社会主义核心价值观，能够（）。,ABCD,在具体利益矛盾、各种思想差异之上最广泛地形成价值共识,有效引领整合纷繁复杂的社会思想意识,有效避免利益格局调整可能带来的思想对立和混乱,形成团结奋斗的强大精神力量,0
398,中国式现代化是物质文明和精神文明相协调的现代化。物质贫困不是社会主义，精神贫乏也不是社会主义。,A,正确,错误,,,0
399,当今世界，文化越来越成为综合国力竞争的重要因素，成为经济社会发展的重要支撑，文化软实力越来越成为争夺发展制高点、道义制高点的关键所在。,A,正确,错误,,,0
400,社会主义核心价值观以其（）站在人类道义制高点上，彰显出独特而强大的价值观优势。,ACD,先进性,抽象性,人民性,真实性,0
401,社会主义核心价值观的（）集中体现在它是社会主义所坚持和追求的价值理念。,B,空想性,先进性,抽象性,保守性,0
402,社会主义作为人类社会迄今为止最先进的社会制度，其价值观同社会主义经济基础和上层建筑相适应，充分彰显了社会主义社会的本质要求。,A,正确,错误,,,0
403,任何一种价值观都不可能凭空产生，总是有其特定的历史底色和精神脉络。,A,正确,错误,,,0
404,中华优秀传统文化是涵养社会主义核心价值观的重要源泉。,A,正确,错误,,,0
405,人类是在对理想社会的追求中不断进步的，不同时代的人们提出了具有时代特点的价值理想。,A,正确,错误,,,0
406,（）是社会主义核心价值观的根本特性。,B,时代性,人民性,现实性,具体性,0
407,中国特色社会主义民主通过选举民主、协商民主、基层民主，保证人民依法实行民主选举、（）。,ABCD,民主协商,民主决策,民主管理,民主监督,0
408,“普世价值”就是一种极具迷惑性、欺骗性并且带有鲜明政治倾向的价值观。,A,正确,错误,,,0
409,资本主义价值观是在资本主义生产方式基础上形成的，从根本上说，是为资产阶级利益服务的。,A,正确,错误,,,0
410,资产阶级把自己的价值观以全人类的共同价值观装饰起来，其目的就是为了维护和攫取与之相关的最大利益。,A,正确,错误,,,0
411,一些西方国家长期存在的（）、社会撕裂、人权无保障等问题，充分说明了“普世价值”在实践上的虚伪性。,ABCD,种族歧视,劳资对立,金钱政治,贫富分化,0
412,社会主义核心价值观的道义力量指其（）。,ABD,先进性,人民性,抽象性,真实性,0
413,中国走上社会主义道路，是近代以来中国社会发展的历史必然，是历史的选择、人民的选择，凝聚着中国共产党带领全国各族人民持续奋斗的实践经验。,A,正确,错误,,,0
414,加快推进社会主义现代化，实现中华民族伟大复兴，必须坚定不移地坚持和发展（）。,C,功利主义,实用主义,中国特色社会主义,个人主义,0
415,社会主义核心价值观在吸收人类优秀的价值理念的基础上，以中国经验、中国实践为民主、自由、平等、公正、法治等价值理念赋予社会主义性质，代表了人类社会前进的方向和价值理念。,A,正确,错误,,,0
416,西方国家所谓的“普世价值”并非指人类道德评价、审美评价的普遍性或共性，而是特指（）价值观。,B,共产主义,资本主义,封建主义,社会主义,0
417,社会主义核心价值观以海纳百川的气度广泛吸收借鉴了包括资本主义文明成果在内的人类一切文明成果，萃取精华、融会贯通，形成了具有世界视野、中国气派的价值观。,A,正确,错误,,,0
418,当代大学生要意识到自身肩负的历史使命，自觉加强价值观养成，树立正确的价值取向。,A,正确,错误,,,0
